"province_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT"
49,87768,243390,92320,72141,39365,2996,2188,8.5296691277003,4573,3052,101251,243389,243389,232915,239588,243390,243390,243390,243383,243390,243390,243390,31498,90957,2892,179,229745,227347,102424,243368,243109,243384,243378,243374,102824,10639,7271,243388,243387,0,6,0,2283,0,0,137,76,994,994,2944,138,113,49,7,1248,22,0,468,436,532,754,16905,55223,40930,15,3,0,6,0,0
50,378466,975845,332499,268579,220363,11898,24050,8.31087865224353,12252,9242,293807,975830,975830,926458,963564,975845,975845,975845,975515,975831,975822,975831,92323,264390,5805,830,892938,884737,481025,975845,973244,975766,975774,975727,482863,37540,60460,975762,975764,80,96,67,33008,24573,17756,10537,3477,3455,6616,51329,6513,20228,679,123,19036,200,24,42297,18744,51556,837,176038,199327,132677,9933,431,145,62,2968,7293
51,115558,312265,105365,83928,75610,7730,13010,8.33103722805864,4919,3704,94609,312265,312265,303597,308844,312263,312263,312263,312233,312263,312263,312263,27909,81748,2368,509,286022,283480,165634,312265,311440,312185,312181,312181,166490,22817,34209,312185,312148,0,15,44,5072,3362,4797,846,410,182,117,7717,657,2249,31,36,2748,0,3,9636,1817,6812,335,22429,61724,42057,133,40,25,9,92,283
52,201010,518240,228192,173368,132161,11634,25219,8.50087060345257,6211,4374,151113,518240,518240,504727,514993,518240,518240,518240,518213,518240,518240,518240,42886,135379,2944,1050,463230,456840,283974,517278,517719,518233,518231,518228,285186,34333,63893,518230,518228,0,7,5,4410,2701,14286,4254,316,614,718,7329,2232,3678,104,11,2907,11,18,3637,8548,33989,1840,39233,111731,74815,3091,20,34,7,758,1414
53,116634,297770,123122,91150,74123,7036,12065,8.44944870277964,4503,3171,99335,297754,297754,288110,295090,297769,297769,297769,297758,297769,297769,297769,28699,91725,2192,338,264984,259578,157837,297734,296703,297724,297732,297731,158796,21158,29688,297730,297705,42,37,23,529,913,9993,2940,254,649,823,3000,428,498,55,3,13463,62,3,1500,3870,18408,281,24690,70829,52360,1336,50,65,6,310,573
54,118050,310457,132877,104805,84065,9126,13995,8.0485472257518,6002,4427,93220,310457,310457,304503,305864,310454,310454,310454,310437,310449,310449,310449,26346,84249,2439,634,277776,274109,174888,310457,309829,310388,310394,310388,175943,26849,35383,310387,310336,0,40,159,1130,1754,6106,825,179,358,376,1160,688,738,91,42,749,21,1,954,2792,12525,558,11366,81800,51165,930,120,45,35,151,181
55,112540,339357,177850,146445,76354,9267,9485,8.1410165274569,7642,5858,130992,339340,339340,332142,328981,339357,339357,339357,339232,339355,339355,339355,40379,117001,3968,438,311899,308388,175872,339313,338639,339307,339314,339311,176951,29117,25877,339325,339313,16,23,65,24136,5719,20050,5737,1199,18201,12214,18225,3385,4362,179,49,7551,77,22,18244,8719,24253,3063,54512,133329,67758,4931,143,64,10,108,1188
56,115620,308960,144361,114980,77365,7131,10788,8.21899325376232,5085,3793,99738,308913,308913,303296,306440,308941,308941,308941,308928,308930,308930,308930,31031,88055,2362,673,276478,272623,163730,308840,308498,308879,308887,308886,164536,20518,26504,308903,308882,9,9,5,2782,1283,2513,801,10,0,2,1152,144,623,85,4,147,4,9,2651,4290,8729,1887,8524,56874,40834,1849,41,69,17,5,56
57,280284,776903,322529,261243,166044,11847,22862,8.42485479014143,11561,8033,269425,776433,776433,749821,765871,776450,776450,776450,776319,776441,776440,776440,87982,237760,5342,312,713469,705358,383389,768771,774090,776377,776382,776353,385214,37367,58654,776810,776807,25,94,248,9646,10528,47315,8458,6667,2288,2092,18219,5473,11298,1163,220,41341,196,15,34516,15606,30271,1776,145217,193126,117139,6124,478,185,18,1444,6438
58,60494,166152,70870,63634,24155,1725,1637,7.93110060501868,3131,2168,72898,166152,166152,148105,163948,166152,166152,166152,165931,166152,166152,166152,24175,66347,1662,242,155534,154106,55259,165907,165949,166152,166152,166131,55531,5531,4060,166152,166152,8,22,6,1961,5943,7502,3533,3347,1384,5103,16153,1210,6886,232,13,10320,114,6,24393,4993,5639,3200,46241,31808,35243,557,37,45,0,36,1010
60,252074,690037,197035,160340,150400,9317,21227,8.00693843871244,10012,7298,260271,690037,690037,661209,684319,690035,690035,690035,689989,690034,690034,690030,80246,237745,5470,449,632431,624836,344837,688669,688559,689967,689984,689978,346498,31308,55775,689996,690001,23,116,23,3660,5415,12722,5903,1521,509,469,12807,4746,5897,365,86,31996,221,21,4153,7865,21960,4850,126892,102121,103651,7284,216,217,16,4133,4142
61,81450,210224,61970,52079,50366,2965,6280,8.41032535297729,4364,3475,78014,210196,210196,200695,205423,210216,210216,210216,210202,210216,210212,210212,23886,71740,966,109,189041,186280,104299,210224,208855,210154,210172,210167,104719,9321,15798,210173,210153,0,36,74,594,1530,4109,2079,816,160,169,2684,931,1077,160,0,4954,76,0,1877,2563,6027,2521,29538,34289,34438,1019,56,13,15,1256,3093
62,153969,450073,138518,117551,86746,8563,15111,7.98606862420357,6665,4932,196340,450068,450068,433003,445012,450071,450071,450071,450047,450068,450068,450067,62081,178384,4324,572,416025,410377,209743,450070,449571,450021,450018,450012,210889,27706,41423,450016,449978,14,81,196,4644,8948,58598,2463,341,1975,2611,13813,6763,9000,181,322,14472,164,0,3689,4932,14195,1870,39212,128636,123932,3320,300,59,9,515,1336
63,121271,332868,100895,84347,55138,4318,6839,8.00712453925506,8108,6181,141584,332868,332868,304643,329970,332785,332785,332785,332669,332740,332731,332725,48206,129021,2378,140,310593,306766,129223,327930,330541,332704,332704,332691,129910,13484,17137,332469,332522,51,111,55,9290,13074,36342,3592,6402,5296,4027,24039,2947,10934,488,171,28763,148,0,23758,8543,12980,3115,110946,72715,67485,4346,233,91,56,2023,4176
64,135978,377680,140188,107184,89304,9242,22271,8.14013296268514,6822,4819,147960,377680,377680,367927,373987,377680,377680,377680,377661,377680,377680,377680,43928,133707,2452,426,339645,334117,193285,377408,375967,377676,377676,377676,194570,27707,54934,377676,377675,66,194,23,15434,8000,19281,2590,580,616,1065,16278,4240,4404,232,70,9382,217,7,2858,5126,18023,2683,25372,98391,82059,5789,124,45,10,1177,4625
65,184625,508913,167002,128847,109884,9731,30179,8.13297224102911,9975,7322,200225,508897,508897,491481,499194,508895,508895,508895,508869,508893,508893,508893,61698,179813,4694,1332,464963,458857,246886,496954,507977,508856,508884,508878,248436,30520,76966,508847,508841,29,438,30,8064,9159,91437,8386,8857,1020,1008,27419,6501,7360,429,154,14669,309,29,5152,11871,28144,5990,66489,121160,109943,11306,186,162,27,6287,9086
66,125444,331701,105747,84018,82274,7574,16256,8.02389911036,7656,5825,126657,331693,331693,319679,327071,331696,331696,331696,331671,331696,331696,331696,39286,115501,3480,475,295796,290286,171968,331701,330826,331617,331641,331640,173070,23573,40802,331638,331563,27,176,21,1603,4256,20108,3866,607,94,55,16639,1246,4148,181,36,2159,133,0,3195,6025,19969,2098,35697,71108,72046,3127,82,57,17,2402,1522
67,238860,727508,236048,193570,133340,9449,16208,8.27961986100645,8266,5673,303918,727505,727505,703382,715059,727508,727508,727508,727475,727500,727491,727490,97365,277138,5513,790,687546,681098,361567,726543,726559,727408,727402,727398,363117,35586,51920,727413,727415,33,48,54,2621,4121,18744,8814,15592,622,772,12654,3181,2363,231,70,7814,202,0,4415,4355,17411,2132,40462,135342,141871,3675,149,51,35,1704,3080
70,168196,501102,96019,77867,105622,5277,10837,8.17349401888273,4868,3634,181484,501102,501102,487785,495758,501102,501102,501102,501075,501102,501102,501100,57547,168980,3580,611,471405,467771,275754,501089,499664,501096,501099,501098,277157,20549,33729,501090,501088,6,13,22,766,889,6621,2627,95,4,8,4615,1597,3590,51,106,9818,22,12,1850,5979,21475,144,71337,59400,60385,2559,75,17,17,2115,1937
71,160569,483390,99495,85312,82353,4551,13312,7.76831767028505,7920,6339,209068,483381,483381,462058,474557,483381,483381,483381,483340,483378,483381,483386,69161,190209,4067,383,459440,455968,226554,483379,482689,483267,483301,483245,227669,17756,41914,483295,483299,18,90,18,3667,7497,31578,3327,847,489,692,13253,5557,5693,461,2,13141,127,0,5639,6424,16960,674,80275,86513,100031,3223,49,118,21,896,1628
72,210028,600127,130456,105284,129318,5933,17981,8.1141133563144,4539,3190,220917,600127,600127,579438,597354,600125,600125,600125,600099,600119,600119,600119,69381,204285,5738,362,558356,552792,327967,598695,599590,600037,600023,600017,329301,21724,51718,599989,599982,10,5,22,1962,4317,6667,4038,468,240,174,10698,7699,3840,204,61,28486,141,0,1430,3604,19807,681,25115,87910,85461,3556,120,25,21,2430,1386
73,160339,492449,70087,58176,92616,3544,7603,8.39265556103007,3892,3124,180355,492449,492449,479839,489733,492446,492446,492446,492423,492439,492436,492434,60214,167765,4035,1263,470313,467486,267846,492065,491991,492390,492382,492373,268752,15226,25607,492391,492397,16,79,5,2308,2804,9724,2137,485,23,38,5475,3295,3202,249,26,417,97,16,807,2515,11943,73,25023,38547,40552,1687,85,43,4,1290,975
74,123450,317279,46423,38493,53408,1764,5295,8.28984204131227,1029,797,96236,317279,317279,299655,314071,317279,317279,317279,317279,317279,317279,317279,31675,87900,2280,154,302107,300410,142093,317279,316994,317262,317262,317262,142467,7508,15526,317257,317260,3,29,7,5760,678,12942,5315,0,0,0,2544,220,5142,119,0,11840,0,0,28,4990,13844,0,46234,25019,26212,1983,1,3,0,8204,330
75,43535,125464,23712,19333,31376,1393,2589,8.12231537843115,920,632,41809,125464,125464,122610,124464,125464,125464,125464,125458,125464,125464,125464,12773,39919,869,194,114879,113703,75634,125464,125282,125460,125457,125454,75924,5321,7638,125455,125456,0,0,0,371,168,919,241,28,0,0,512,78,716,36,0,2414,0,0,263,404,1651,245,28318,8788,13087,113,10,7,0,475,229
76,101465,303940,61547,47663,62639,2952,7264,8.31494604050658,2788,2011,115322,303940,303940,296080,301793,303940,303940,303940,303921,303940,303940,303940,36870,104598,3600,729,286043,283728,165219,303935,302510,303937,303937,303936,165790,11400,22019,303937,303935,13,41,31,2460,3768,63588,1311,483,54,87,4805,5974,2180,70,41,754,0,0,606,3749,21159,195,4767,58024,64985,1053,31,21,5,1428,994
77,121161,278797,44907,36239,53168,2142,4457,8.08184977014056,3650,2725,91433,278796,278796,263432,275819,278797,278797,278797,278791,278792,278792,278792,28513,83839,2160,488,255798,253934,119767,278778,278366,278784,278787,278783,120194,7499,11941,278789,278786,6,35,11,851,1008,4185,3096,536,236,490,4967,1101,2206,93,52,3194,59,0,1132,2068,6034,456,64617,22950,31658,2448,44,45,14,1417,1146
80,321562,906950,155956,122106,181952,12247,22806,8.09820812160641,9896,6496,358435,906827,906827,866998,893215,906849,906845,906845,906680,906840,906840,906837,118966,323811,9627,1089,833658,824294,413681,906660,904721,906733,906854,906843,416093,40741,62120,906740,906737,19,231,272,8488,9268,117787,18261,4517,2491,2584,59163,9742,13010,1107,352,46322,419,19,4529,22255,40644,11698,270199,145972,277831,22230,335,188,61,8359,14507
81,95095,297892,36082,30446,38435,2043,3960,8.06569220253431,4061,2899,147012,297887,297887,277626,295084,297892,297892,297892,297835,297892,297892,297892,51040,132919,2572,283,285740,284045,103715,297892,296350,297882,297882,297882,104208,7856,12356,297879,297871,25,467,44,5202,4840,77395,6303,897,2258,6403,26158,2728,8779,253,120,19466,118,0,1312,5217,10246,1168,101623,30772,98632,6831,55,46,17,6207,2232
82,56479,154026,31933,26246,29927,1835,4908,8.35595531082349,2601,1997,62207,154012,154012,146978,151334,154025,154025,154025,154016,154025,154023,154023,20526,56453,968,318,141604,140331,68182,154026,153847,154005,154004,154004,68545,6253,13130,153998,153993,0,29,38,393,1243,31762,1059,691,1,1,6342,1433,1440,84,19,72,11,0,181,5275,6175,266,52527,14899,40982,1491,14,36,4,462,320
83,92350,189444,18030,14807,26565,405,242,8.33349214943151,803,517,47666,189436,189436,172158,176276,189418,189418,189418,189367,189289,189203,189129,15161,43410,883,62,178078,177148,58854,189444,189197,189365,189362,189362,59021,1290,755,189368,189368,4,4,1717,448,907,3312,1002,153,55,69,2239,376,408,171,54,7447,4,0,289,1922,2999,17,34348,6743,14048,377,70,10,3,1964,843
84,205120,558163,63238,53306,94366,3988,8610,8.11282176287052,8496,6603,224111,558160,558160,524995,552397,558159,558159,558159,558068,558161,558161,558159,74012,199744,5545,537,523504,519798,218458,557946,557128,558095,558091,558083,219380,14397,24238,558085,558082,15,183,65,15555,11575,106003,10797,2224,5930,6422,45379,5683,19078,980,267,29843,306,17,2282,7463,13969,4120,165826,91490,160372,15439,246,91,36,10604,5610
85,47213,116086,18525,15825,18776,660,1841,7.9036282379853,1465,1013,42910,116080,116080,106797,113851,116086,116086,116086,116077,116085,116084,116084,14154,38726,1634,72,107831,106684,41658,114433,115959,116071,116077,116077,41717,2285,4703,116074,116076,5,449,2,425,1233,31610,2260,188,838,635,8313,452,3145,66,11,3875,28,0,648,1950,2765,117,25847,16265,34831,2560,56,42,13,2552,283
86,102275,279409,35968,28473,54686,3012,5923,8.18052309948668,3342,2187,104943,279409,279409,269086,277050,279409,279409,279409,279396,279409,279409,279409,33506,93788,2874,220,257593,255129,125225,279317,278982,279409,279409,279409,125890,10193,16264,279394,279398,7,150,4,7527,4277,50387,1798,1760,585,796,11317,3456,3865,249,83,12349,87,4,1250,4472,3441,197,55367,43221,70194,5805,139,16,18,1312,2072
90,274973,754786,173355,132026,134440,6177,7531,8.32121699221378,15129,10370,284924,754775,754775,712382,741080,754783,754783,754783,754686,754779,754779,754779,94833,258784,11220,1619,706173,700197,318290,752773,753329,754730,754730,754726,319827,22326,21958,754710,754705,92,3200,102,5549,4962,108883,10823,480,224,458,19376,6449,9784,602,83,8025,101,61,1738,10786,24395,2165,105402,85126,162033,6951,69,113,21,1874,3836
91,71308,227297,65068,52960,30806,2164,3207,8.21450608627363,3847,2702,115287,227297,227297,211261,225168,227297,227297,227297,227290,227293,227293,227293,41584,105686,4939,177,217945,216588,82441,227135,226716,227273,227273,227273,82949,8148,9897,227261,227244,5,72,58,5083,2501,46960,2372,5580,795,865,7101,216,2185,89,57,22706,116,0,956,5799,10344,118,43636,15040,96628,630,30,62,19,777,215
92,134721,384197,83007,68009,68568,4896,8791,8.40782060703231,5986,3936,156324,384197,384197,366082,379502,384197,384197,384197,384156,384197,384194,384191,51398,140796,3230,673,358668,355915,163064,384083,383803,384142,384142,384142,164063,17486,25647,384140,384142,35,82,129,4522,7097,9628,4889,2548,1789,1539,21721,5143,7863,2132,22,24080,93,18,1324,6029,12655,817,120854,65389,105234,6944,64,37,2,1984,2432
93,132844,370181,94630,74222,75913,4444,7588,8.10153262473277,5166,3789,144196,370177,370177,352801,367002,370181,370181,370181,370162,370181,370181,370177,48552,128603,4449,203,336951,333796,162819,370181,369604,370146,370146,370146,163636,14484,20427,370152,370148,4,205,29,872,2908,25418,2939,477,1159,1359,10971,1980,7323,618,33,25555,181,0,1481,6434,10411,82,53963,74641,108923,6676,48,65,31,1927,3745
94,127347,451249,97792,81906,59955,4789,4907,8.27531861763528,14924,10708,253477,451246,451246,423726,442633,451249,451249,451249,451144,451241,451245,451245,102803,235463,11610,690,434474,430761,186807,451249,450066,451238,451237,451229,187743,21317,18049,451216,451213,102,513,1993,2385,6264,36148,6993,1754,325,397,14356,2111,7613,379,247,42612,301,37,14287,12431,16024,9862,106790,7902,185888,1855,77,59,12,2205,3824
95,99736,315539,76859,61586,40019,3204,4545,8.20115103874228,7547,5331,164176,315537,315537,290066,309596,315539,315539,315539,315485,315536,315536,315534,64984,153560,7481,593,302804,300119,112193,315529,314703,315524,315515,315515,112864,13116,13805,315517,315513,55,70,886,6165,7409,23288,5613,1122,803,1041,34039,3178,11614,293,672,6823,233,83,13248,11071,16842,2178,80781,13481,119390,7707,67,63,4,5078,1779
96,144223,498333,143842,120955,61944,4908,5715,8.1319207061287,10902,7558,266737,498333,498333,465240,493082,498327,498327,498327,498307,498326,498326,498327,101808,251680,9430,1046,482105,479092,187849,498000,494875,498277,498285,498277,188749,21032,17493,498267,498263,72,760,1437,1288,4394,21288,5278,1681,48,71,26862,201,3971,209,429,15178,291,0,16626,7513,8171,2131,76030,13412,193523,589,57,101,4,1531,2137
